UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO, POPULAÇÃO ESTIMADA ,STATUS_PROCESSAMENTO
SP,35,06201,Bento de Abreu,2.642,⚠️
SP,35,49003,São Francisco,2.629,⚠️
SP,35,49201,São João das Duas Pontes,2.622,⚠️
MG,31,45505,Olímpio Noronha,2.616,⚠️
SP,35,07753,Brejo Alegre,2.605,⚠️
MG,31,55009,Rio Doce,2.542,⚠️
MT,51,07263,Santo Afonso,2.460,⚠️
MG,31,65560,Sem-Peixe,2.441,⚠️
MG,31,43609,Morro da Garça,2.438,⚠️
SP,35,27504,Lucianópolis,2.419,⚠️
SP,35,40309,Pontes Gestal,2.415,⚠️
MG,31,67301,Silveirânia,2.391,⚠️
MG,31,72202,Wenceslau Braz,2.387,⚠️
MG,31,64902,São Sebastião do Rio Verde,2.373,⚠️
MG,31,56205,Rochedo de Minas,2.363,⚠️
SP,35,14957,Embaúba,2.353,⚠️
MG,31,09808,Cachoeira Dourada,2.346,⚠️
MG,31,65602,Senador Cortes,2.319,⚠️
MG,31,47808,Passa Vinte,2.301,⚠️
SP,35,49300,São João do Pau d'Alho,2.288,⚠️
MG,31,14907,Casa Grande,2.260,⚠️
SP,35,14205,Dolcinópolis,2.250,⚠️
MG,31,70602,Vargem Bonita,2.206,⚠️
MG,31,24609,Estrela Dalva,2.204,⚠️
SP,35,33106,Nova Guataporanga,2.188,⚠️
MG,31,32800,Itambé do Mato Dentro,2.175,⚠️
MG,31,58706,Santana do Garambéu,2.175,⚠️
MG,31,00708,Água Comprida,2.165,⚠️
SP,35,46256,Santa Cruz da Esperança,2.162,⚠️
SP,35,36570,Paulistânia,2.146,⚠️
MG,31,65800,Senador José Bento,2.137,⚠️
SP,35,13306,Cruzália,2.129,⚠️
SP,35,03356,Arco-Íris,2.085,⚠️
SP,35,54656,Torre de Pedra,2.063,⚠️
MG,31,45703,Oliveira Fortes,2.062,⚠️
SP,35,32843,Nova Canaã Paulista,2.058,⚠️
MT,51,06315,Novo Santo Antônio,2.040,⚠️
SP,35,18008,Guarani d'Oeste,1.999,⚠️
SP,35,29658,Mesópolis,1.988,⚠️
SP,35,27256,Lourdes,1.968,⚠️
SP,35,31001,Monções,1.954,⚠️
MT,51,07883,Serra Nova Dourada,1.901,⚠️
SP,35,49250,São João de Iracema,1.880,⚠️
SP,35,03950,Aspásia,1.873,⚠️
SP,35,29104,Marinópolis,1.870,⚠️
MG,31,49408,Pedro Teixeira,1.854,⚠️
MG,31,60504,Santo Antônio do Rio Abaixo,1.853,⚠️
SP,35,55208,Turiúba,1.839,⚠️
SP,35,56958,Vitória Brasil,1.826,⚠️
SP,35,47205,Santana da Ponte Pensa,1.698,⚠️
SP,35,47650,Santa Salete,1.686,⚠️
SP,35,55307,Turmalina,1.672,⚠️
SP,35,13850,Dirce Reis,1.641,⚠️
SP,35,55703,União Paulista,1.628,⚠️
MG,31,03108,Antônio Prado de Minas,1.558,⚠️
MG,31,23403,Doresópolis,1.496,⚠️
SP,35,15806,Flora Rica,1.492,⚠️
SP,35,55901,Uru,1.419,⚠️
MG,31,64803,São Sebastião do Rio Preto,1.248,⚠️
MG,31,15607,Cedro do Abaeté,1.091,⚠️
SP,35,32868,Nova Castilho,1.074,⚠️
MG,31,66600,Serra da Saudade,854,⚠️
