UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO, POPULAÇÃO ESTIMADA ,STATUS_PROCESSAMENTO
MG,31,20870,Curral de Dentro,7.630,⚠️
SP,35,43253,Ribeirão Grande,7.570,⚠️
MG,31,48756,Pedra Bonita,7.559,⚠️
MG,31,69109,Toledo,7.541,⚠️
MG,31,61700,São Gonçalo do Abaeté,7.521,⚠️
SP,35,17802,Guaraçaí,7.486,⚠️
SP,35,00402,Águas da Prata,7.470,⚠️
SP,35,36604,Paulo de Faria,7.430,⚠️
MG,31,31604,Iraí de Minas,7.423,⚠️
MG,31,17836,Cônego Marinho,7.420,⚠️
SP,35,00550,Águas de Santa Bárbara,7.407,⚠️
MG,31,64308,São Roque de Minas,7.341,⚠️
SP,35,50506,São Pedro do Turvo,7.333,⚠️
SP,35,48203,Santo Antônio do Pinhal,7.294,⚠️
MG,31,16506,Claro dos Poções,7.259,⚠️
MG,31,70750,Varjão de Minas,7.243,⚠️
MG,31,50570,Pintópolis,7.231,⚠️
MG,31,26505,Francisco Badaró,7.208,⚠️
MG,31,30556,Imbé de Minas,7.208,⚠️
MG,31,64001,São Pedro dos Ferros,7.194,⚠️
MG,31,01631,Alfredo Vasconcelos,7.184,⚠️
SP,35,46900,Santa Lúcia,7.181,⚠️
MT,51,06281,Novo São Joaquim,7.160,⚠️
SP,35,27009,Lindóia,7.147,⚠️
MG,31,62609,São João do Oriente,7.139,⚠️
SP,35,32306,Natividade da Serra,7.134,⚠️
MG,31,65206,São Tomé das Letras,7.089,⚠️
MG,31,58508,Santana de Pirapama,7.079,⚠️
SP,35,54904,Três Fronteiras,7.013,⚠️
MG,31,24401,Espírito Santo do Dourado,7.007,⚠️
SP,35,21101,Ipeúna,6.999,⚠️
PB,25,11608,Pilões,6.979,⚠️
MG,31,07505,Bom Jardim de Minas,6.968,⚠️
MG,31,59357,Santa Rita de Minas,6.952,⚠️
MG,31,66709,Serra dos Aimorés,6.936,⚠️
MG,31,65305,São Vicente de Minas,6.935,⚠️
MG,31,24807,Estrela do Sul,6.926,⚠️
SP,35,05401,Barra do Turvo,6.922,⚠️
SP,35,47908,Santo Antônio da Alegria,6.917,⚠️
MG,31,54457,Riachinho,6.890,⚠️
MG,31,18205,Conquista,6.864,⚠️
SP,35,32801,Nova Aliança,6.858,⚠️
MG,31,65107,São Tomás de Aquino,6.853,⚠️
MG,31,09451,Cabeceira Grande,6.797,⚠️
MG,31,21803,Dionísio,6.789,⚠️
SP,35,12100,Colômbia,6.781,⚠️
MG,31,58300,Santana da Vargem,6.781,⚠️
MG,31,45059,Nova Porteirinha,6.780,⚠️
MG,31,52600,Pouso Alto,6.755,⚠️
MG,31,60454,Santo Antônio do Retiro,6.743,⚠️
SP,35,53203,Taiúva,6.733,⚠️
SP,35,36802,Pedra Bela,6.718,⚠️
MG,31,64407,São Sebastião da Bela Vista,6.694,⚠️
MG,31,28600,Guarda-Mor,6.684,⚠️
SP,35,44806,Sales,6.612,⚠️
MG,31,22207,Divinolândia de Minas,6.607,⚠️
SP,35,24907,Jambeiro,6.575,⚠️
SP,35,45704,Santa Albertina,6.543,⚠️
SP,35,18107,Guarantã,6.531,⚠️
MG,31,22355,Divisa Alegre,6.513,⚠️
SP,35,42701,Restinga,6.492,⚠️
MG,31,65404,Sapucaí-Mirim,6.462,⚠️
MG,31,65578,Senador Amaral,6.458,⚠️
MG,31,31000,Inhaúma,6.435,⚠️
SP,35,16606,Gália,6.435,⚠️
MG,31,63805,São Miguel do Anta,6.430,⚠️
