Location_ID,Location_Name_PT,ISO_3166_1,Country_Region_PT,Adm1_Name_PT,Adm2_Name_PT,Timezone,Latitude,Longitude
D69DF,Palmas,BR,Brazil,Paraná,Palmas,America/Sao_Paulo,-26.48389,-51.99083
4DE5D,São Benedito,BR,Brazil,Ceará,São Benedito,America/Fortaleza,-4.04889,-40.86500
33EE4,Campo Novo do Parecis,BR,Brazil,Mato Grosso,Campo Novo do Parecis,America/Cuiaba,-13.67500,-57.89195
8A887,Guaramirim,BR,Brazil,Santa Catarina,Guaramirim,America/Sao_Paulo,-26.47278,-49.00278
DF488,Catu,BR,Brazil,Bahia,Catu,America/Bahia,-12.34972,-38.38306
20EEE,Campina Grande do Sul,BR,Brazil,Paraná,Campina Grande do Sul,America/Sao_Paulo,-25.30583,-49.05500
B360D,Quirinópolis,BR,Brazil,Goiás,Quirinópolis,America/Sao_Paulo,-18.44778,-50.45195
AFA61,Monte Carmelo,BR,Brazil,Minas Gerais,Monte Carmelo,America/Sao_Paulo,-18.72472,-47.49861
29637,São Joaquim da Barra,BR,Brazil,São Paulo,São Joaquim da Barra,America/Sao_Paulo,-20.58300,-47.86300
967B2,Altos,BR,Brazil,Piauí,Altos,America/Fortaleza,-5.16090,-42.45038
52C28,Bocaiúva,BR,Brazil,Minas Gerais,Bocaiúva,America/Sao_Paulo,-17.11200,-43.81400
51D55,Barras,BR,Brazil,Piauí,Barras,America/Fortaleza,-4.24694,-42.29583
11706,Diamantina,BR,Brazil,Minas Gerais,Diamantina,America/Sao_Paulo,-18.24944,-43.60028
5F075,São José de Mipibu,BR,Brazil,Rio Grande do Norte,São José de Mipibu,America/Fortaleza,-6.07500,-35.23778
5A88A,Sidrolândia,BR,Brazil,Mato Grosso do Sul,Sidrolândia,America/Campo_Grande,-20.93194,-54.96084
85509,Estância Velha,BR,Brazil,Rio Grande do Sul,Estância Velha,America/Sao_Paulo,-29.64778,-51.17389
94EC8,Monte Santo,BR,Brazil,Bahia,Monte Santo,America/Bahia,-10.43778,-39.33278
E70E2,Itapagé,BR,Brazil,Ceará,Itapagé,America/Fortaleza,-3.68600,-39.58400
B59B4,Seabra,BR,Brazil,Bahia,Seabra,America/Bahia,-12.41889,-41.77000
